"Country Region","Package Id",Type,"Net Price","Recommended retail price",Data,SMS,Voice,Networks
Germany,hallo-mobil-7days-unlimited-topup,topup,8.9,29.5,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-10days-unlimited,sim,12.2,35,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-10days-unlimited-topup,topup,12.2,35,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-15days-unlimited,sim,17.7,49,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-15days-unlimited-topup,topup,17.7,49,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-unlimited,sim,34.2,72.5,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Germany,hallo-mobil-30days-unlimited-topup,topup,34.2,72.5,Unlimited,0,0,"O2 [5G], Vodafone [5G]"
Mexico,chido-7days-1gb,sim,1.4,4.5,"1 GB",0,0,"Movistar [4G]"
Mexico,chido-7days-1gb-topup,topup,1.4,4.5,"1 GB",0,0,"Movistar [4G]"
Mexico,chido-15days-2gb,sim,1.9,8,"2 GB",0,0,"Movistar [4G]"
Mexico,chido-15days-2gb-topup,topup,1.9,8,"2 GB",0,0,"Movistar [4G]"
Mexico,chido-30days-3gb,sim,2.4,10.5,"3 GB",0,0,"Movistar [4G]"
Mexico,chido-30days-3gb-topup,topup,2.4,10.5,"3 GB",0,0,"Movistar [4G]"
Mexico,chido-fon-30days-5gb,sim,3.3,16,"5 GB",0,0,"Movistar [4G]"
Mexico,chido-fon-30days-5gb-topup,topup,3.3,16,"5 GB",0,0,"Movistar [4G]"
Mexico,chido-fon-30days-10gb,sim,4.9,23,"10 GB",0,0,"Movistar [4G]"
Mexico,chido-fon-30days-10gb-topup,topup,4.9,23,"10 GB",0,0,"Movistar [4G]"
Mexico,chido-fon-30days-20gb,sim,8.3,39,"20 GB",0,0,"Movistar [4G]"
Mexico,chido-fon-30days-20gb-topup,topup,8.3,39,"20 GB",0,0,"Movistar [4G]"
Mexico,chido-plus-7days-1gb,sim,1.4,4.5,"1 GB",10,10,"Movistar [4G]"
Mexico,chido-plus-7days-1gb-topup,topup,1.4,5.5,"1 GB",10,10,"Movistar [4G]"
Mexico,chido-plus-15days-2gb,sim,1.9,9.5,"2 GB",20,20,"Movistar [4G]"
Mexico,chido-plus-15days-2gb-topup,topup,1.9,8,"2 GB",20,20,"Movistar [4G]"
Mexico,chido-plus-30days-3gb,sim,2.4,12.5,"3 GB",30,30,"Movistar [4G]"
Mexico,chido-plus-30days-3gb-topup,topup,2.4,12.5,"3 GB",30,30,"Movistar [4G]"
Mexico,chido-plus-30days-5gb,sim,3.3,18.5,"5 GB",50,50,"Movistar [4G]"
Mexico,chido-plus-30days-5gb-topup,topup,3.3,18.5,"5 GB",50,50,"Movistar [4G]"
Mexico,chido-plus-30days-10gb,sim,4.9,26,"10 GB",100,100,"Movistar [4G]"
Mexico,chido-plus-30days-10gb-topup,topup,4.9,26,"10 GB",100,100,"Movistar [4G]"
Mexico,chido-plus-30days-20gb,sim,8.3,42.5,"20 GB",200,200,"Movistar [4G]"
Mexico,chido-plus-30days-20gb-topup,topup,8.3,42.5,"20 GB",200,200,"Movistar [4G]"
Mexico,chido-fon-3days-unlimited,sim,3.7,12.5,Unlimited,0,0,"Movistar [4G]"
